Freq[Hz]  Imp[Ohm]  Phase[Deg]
162.327      5.599   -42.419
164.688      5.535   -41.987
167.084      5.463   -41.531
169.514      5.397   -41.045
171.980      5.329   -40.549
174.481      5.263   -40.022
177.019      5.205   -39.508
179.594      5.138   -38.983
182.206      5.077   -38.419
184.856      5.014   -37.826
187.545      4.954   -37.169
190.273      4.904   -36.487
193.041      4.857   -35.829
195.849      4.811   -35.163
198.697      4.770   -34.484
201.587      4.734   -33.827
204.520      4.698   -33.189
207.494      4.667   -32.572
210.512      4.635   -31.990
213.574      4.599   -31.398
216.681      4.567   -30.785
219.833      4.536   -30.161
223.030      4.509   -29.528
226.274      4.491   -28.964
229.565      4.464   -28.461
232.905      4.433   -27.929
236.292      4.401   -27.342
239.729      4.369   -26.687
243.216      4.346   -25.980
246.754      4.337   -25.327
250.343      4.329   -24.789
253.984      4.320   -24.362
257.678      4.298   -23.980
261.426      4.266   -23.524
265.229      4.234   -22.969
269.087      4.202   -22.309
273.001      4.180   -21.561
276.972      4.171   -20.819
281.000      4.167   -20.144
285.088      4.167   -19.540
289.234      4.167   -19.004
293.441      4.167   -18.520
297.709      4.167   -18.087
302.040      4.167   -17.720
306.433      4.163   -17.421
310.890      4.154   -17.182
315.412      4.131   -16.939
320.000      4.099   -16.588
324.655      4.067   -16.109
329.377      4.036   -15.500
334.168      4.013   -14.781
339.028      4.004   -14.053
343.959      4.000   -13.376
348.962      4.000   -12.756
354.038      4.000   -12.186
359.188      4.000   -11.647
364.412      4.000   -11.129
369.713      4.000   -10.629
375.090      4.000   -10.142
380.546      4.000    -9.668
386.081      4.000    -9.203
391.697      4.000    -8.747
397.394      4.000    -8.299
403.175      4.000    -7.857
409.039      4.000    -7.421
414.989      4.000    -6.990
421.025      4.000    -6.563
427.149      4.000    -6.141
433.362      4.000    -5.722
439.665      4.000    -5.305
446.060      4.000    -4.891
452.548      4.000    -4.479
459.131      4.000    -4.069
465.809      4.000    -3.659
472.584      4.000    -3.250
479.458      4.000    -2.841
486.432      4.000    -2.431
493.507      4.000    -2.021
500.686      4.000    -1.608
507.968      4.000    -1.193
515.357      4.000    -0.776
522.853      4.000    -0.354
530.458      4.000     0.073
538.174      4.000     0.506
546.002      4.000     0.947
553.943      4.000     1.398
562.001      4.000     1.862
570.175      4.000     2.344
578.469      4.000     2.853
586.883      4.000     3.408
595.419      4.004     4.015
604.080      4.013     4.669
612.866      4.036     5.309
621.780      4.067     5.833
630.824      4.099     6.223
640.000      4.131     6.479
649.309      4.154     6.623
658.753      4.163     6.757
668.335      4.167     6.945
678.056      4.167     7.194
687.919      4.167     7.502
697.925      4.167     7.854
708.077      4.167     8.251
718.376      4.167     8.706
728.825      4.171     9.225
739.426      4.180     9.799
750.181      4.202    10.369
761.093      4.234    10.838
772.163      4.266    11.188
783.394      4.298    11.419
794.789      4.320    11.552
806.349      4.329    11.690
818.078      4.333    11.898
829.977      4.333    12.195
842.050      4.336    12.587
854.298      4.343    13.055
866.724      4.361    13.552
879.330      4.389    13.993
892.120      4.421    14.334
905.097      4.453    14.567
918.262      4.479    14.707
931.618      4.493    14.824
945.169      4.499    14.995
958.917      4.500    15.262
972.864      4.504    15.627
987.015      4.513    16.074
1001.37      4.536    16.537
1015.94      4.567    16.923
1030.71      4.599    17.214
1045.71      4.631    17.412
1060.92      4.654    17.544
1076.35      4.664    17.713
1092.00      4.673    17.977
1107.89      4.686    18.322
1124.00      4.711    18.681
1140.35      4.743    18.971
1156.94      4.775    19.172
1173.77      4.804    19.289
1190.84      4.823    19.359
1208.16      4.830    19.466
1225.73      4.833    19.664
1243.56      4.837    19.960
1261.65      4.846    20.342
1280.00      4.869    20.745
1298.62      4.901    21.079
1317.51      4.933    21.326
1336.67      4.964    21.487
1356.11      4.987    21.580
1375.84      4.996    21.695
1395.85      5.000    21.900
1416.15      5.004    22.204
1436.75      5.013    22.600
1457.65      5.036    23.022
1478.85      5.067    23.385
1500.36      5.099    23.674
1522.19      5.131    23.895
1544.33      5.154    24.076
1566.79      5.168    24.303
1589.58      5.183    24.617
1612.70      5.207    24.970
1636.16      5.238    25.294
1659.95      5.270    25.564
1684.10      5.301    25.792
1708.60      5.325    26.006
1733.45      5.343    26.276
1758.66      5.369    26.600
1784.24      5.401    26.910
1810.19      5.433    27.201
1836.52      5.468    27.463
1863.24      5.500    27.704
1890.34      5.532    27.955
1917.83      5.567    28.194
1945.73      5.599    28.424
1974.03      5.635    28.645
2002.74      5.667    28.855
2031.87      5.698    29.081
2061.43      5.734    29.300
2091.41      5.766    29.514
2121.83      5.802    29.723
2152.69      5.833    29.925
2184.01      5.865    30.146
2215.77      5.901    30.366
2248.00      5.933    30.585
2280.70      5.970    30.803
2313.87      6.003    31.012
2347.53      6.037    31.238
2381.68      6.072    31.474
2416.32      6.108    31.717
2451.46      6.148    31.966
2487.12      6.191    32.194
2523.30      6.232    32.406
2560.00      6.273    32.623
2597.24      6.320    32.832
2635.01      6.368    32.995
2673.34      6.409    33.136
2712.23      6.449    33.290
2751.68      6.486    33.461
2791.70      6.526    33.650
2832.31      6.568    33.843
2873.50      6.609    34.048
2915.30      6.658    34.242
2957.70      6.709    34.384
3000.72      6.751    34.508
3044.37      6.792    34.646
3088.65      6.830    34.801
3133.58      6.869    34.980
3179.16      6.911    35.176
3225.40      6.953    35.388
3272.31      7.006    35.587
3319.91      7.057    35.739
3368.20      7.100    35.886
3417.19      7.144    36.053
3466.89      7.189    36.230
3517.32      7.234    36.418
3568.48      7.279    36.632
3620.39      7.333    36.849
3673.05      7.392    37.025
3726.47      7.442    37.196
3780.67      7.500    37.370
3835.67      7.558    37.509
3891.46      7.608    37.655
3948.06      7.667    37.810
4005.49      7.725    37.935
4063.75      7.775    38.070
4122.86      7.833    38.217
4182.82      7.892    38.335
4243.66      7.942    38.466
4305.39      8.000    38.610
4368.01      8.058    38.729
4431.55      8.108    38.862
4496.01      8.167    39.009
4561.40      8.225    39.135
4627.75      8.275    39.278
4695.06      8.333    39.441
4763.35      8.392    39.590
4832.64      8.444    39.768
4902.93      8.508    39.968
4974.24      8.576    40.149
5046.60      8.646    40.316
5120.00      8.722    40.458
5194.47      8.796    40.566
5270.03      8.867    40.647
5346.68      8.930    40.733
5424.45      8.994    40.839
5503.35      9.059    40.947
5583.40      9.120    41.071
5664.61      9.188    41.206
5747.01      9.253    41.341
5830.60      9.320    41.493
5915.41      9.391    41.650
6001.45      9.464    41.810
6088.74      9.543    41.967
6177.30      9.626    42.105
6267.15      9.707    42.229
6358.31      9.793    42.337
6450.80      9.874    42.436
6544.62      9.959    42.528
6639.82     10.041    42.614
6736.40     10.126    42.695
6834.38     10.207    42.773
6933.79     10.293    42.848
7034.64     10.374    42.921
7136.96     10.459    42.993
7240.77     10.541    43.065
7346.09     10.626    43.138
7452.94     10.707    43.213
7561.35     10.793    43.293
7671.33     10.875    43.379
7782.91     10.962    43.476
7896.12     11.051    43.574
8010.97     11.144    43.671
8127.49     11.243    43.754
8245.71     11.343    43.814
8365.65     11.439    43.861
8487.33     11.536    43.898
8610.78     11.626    43.940
8736.03     11.720    43.994
8863.09     11.813    44.054
8992.01     11.913    44.114
9122.80     12.012    44.160
9255.50     12.109    44.205
9390.12     12.209    44.249
9526.70     12.304    44.301
9665.27     12.405    44.363
9805.86     12.509    44.420
9948.49     12.612    44.483
10093.2     12.727    44.531
10240.0     12.836    44.559
10388.9     12.944    44.593
10540.1     13.061    44.612
10693.4     13.169    44.617
10848.9     13.277    44.634
11006.7     13.392    44.643
11166.8     13.500    44.645
11329.2     13.610    44.660
11494.0     13.729    44.665
11661.2     13.844    44.650
11830.8     13.956    44.633
12002.9     14.073    44.600
12177.5     14.177    44.558
12354.6     14.276    44.534
12534.3     14.373    44.534
12716.6     14.469    44.564
12901.6     14.574    44.618
13089.2     14.686    44.672
13279.6     14.801    44.725
13472.8     14.924    44.770
13668.8     15.048    44.797
13867.6     15.167    44.821
14069.3     15.286    44.858
14273.9     15.413    44.901
14481.5     15.545    44.937
14692.2     15.681    44.964
14905.9     15.825    44.968
15122.7     15.964    44.947
15342.7     16.096    44.921
15565.8     16.229    44.894
15792.2     16.357    44.873
16021.9     16.487    44.862
16255.0     16.621    44.851
16491.4     16.752    44.843
16731.3     16.890    44.839
16974.7     17.029    44.831
17221.6     17.171    44.819
17472.1     17.319    44.792
17726.2     17.460    44.753
17984.0     17.597    44.721
18245.6     17.736    44.697
18511.0     17.875    44.683
18780.2     18.022    44.677
19053.4     18.180    44.660
19330.5     18.338    44.623
19611.7     18.497    44.570
19897.0     18.654    44.503
20186.4     18.808    44.429
20480.0     18.959    44.350
20777.9     19.108    44.271
21080.1     19.255    44.195
21386.7     19.402    44.120
21697.8     19.549    44.046
22013.4     19.697    43.973
22333.6     19.844    43.900
22658.4     19.991    43.827
22988.0     20.138    43.754
23322.4     20.285    43.682
23661.6     20.432    43.609
24005.8     20.579    43.537
24355.0     20.727    43.466
24709.2     20.874    43.394
25068.6     21.021    43.323
25433.2     21.168    43.253
25803.2     21.315    43.183
26178.5     21.462    43.114
26559.3     21.609    43.045
26945.6     21.757    42.978
27337.5     21.904    42.911
27735.2     22.051    42.845
28138.6     22.198    42.781
28547.9     22.345    42.717
28963.1     22.492    42.655
29384.4     22.639    42.594
29811.8     22.787    42.534
30245.4     22.934    42.476
30685.3     23.081    42.420
31131.7     23.228    42.365
31584.5     23.375    42.312
32043.9     23.522    42.261
32510.0     23.669    42.212
32982.8     23.817    42.165
33462.6     23.964    42.121
33949.3     24.111    42.079
34443.1     24.258    42.040
34944.1     24.405    42.004
35452.4     24.552    41.971
35968.0     24.699    41.942
36491.2     24.846    41.917
37022.0     24.994    41.897
37560.5     25.141    41.884
38106.8     25.274    41.877
38661.1     25.394    41.879
39223.4     25.483    41.884
39793.9     25.552    41.890
