Freq[Hz]     dBSPL  Phase[Deg]
153.217     84.027    44.051
155.445     84.165    42.763
157.706     84.276    41.436
160.000     84.363    40.108
162.327     84.432    38.793
164.688     84.481    37.492
167.084     84.508    36.229
169.514     84.514    35.034
171.980     84.500    33.942
174.481     84.472    32.988
177.019     84.442    32.172
179.594     84.415    31.474
182.206     84.399    30.853
184.856     84.390    30.256
187.545     84.381    29.663
190.273     84.366    29.082
193.041     84.340    28.545
195.849     84.306    28.089
198.697     84.265    27.749
201.587     84.224    27.550
204.520     84.191    27.501
207.494     84.175    27.596
210.512     84.187    27.812
213.574     84.236    28.086
216.681     84.331    28.327
219.833     84.467    28.429
223.030     84.637    28.289
226.274     84.818    27.831
229.565     84.986    27.056
232.905     85.121    26.036
236.292     85.217    24.874
239.729     85.272    23.673
243.216     85.298    22.511
246.754     85.306    21.412
250.343     85.305    20.355
253.984     85.293    19.301
257.678     85.265    18.234
261.426     85.211    17.178
265.229     85.123    16.209
269.087     85.006    15.428
273.001     84.882    14.865
276.972     84.760    14.501
281.000     84.656    14.279
285.088     84.569    14.104
289.234     84.482    13.937
293.441     84.383    13.823
297.709     84.269    13.831
302.040     84.143    14.046
306.433     84.027    14.503
310.890     83.932    15.172
315.412     83.866    16.010
320.000     83.831    16.986
324.655     83.828    18.092
329.377     83.868    19.330
334.168     83.971    20.655
339.028     84.158    21.934
343.959     84.435    22.950
348.962     84.773    23.506
354.038     85.149    23.442
359.188     85.509    22.684
364.412     85.798    21.376
369.713     86.014    19.739
375.090     86.154    17.941
380.546     86.216    16.168
386.081     86.228    14.549
391.697     86.208    13.112
397.394     86.164    11.857
403.175     86.104    10.782
409.039     86.038     9.879
414.989     85.970     9.125
421.025     85.906     8.492
427.149     85.846     7.952
433.362     85.787     7.510
439.665     85.737     7.159
446.060     85.697     6.872
452.548     85.667     6.634
459.131     85.651     6.421
465.809     85.647     6.207
472.584     85.651     5.981
479.458     85.667     5.729
486.432     85.695     5.417
493.507     85.727     5.021
500.686     85.758     4.529
507.968     85.783     3.940
515.357     85.793     3.276
522.853     85.782     2.585
530.458     85.750     1.919
538.174     85.701     1.323
546.002     85.638     0.840
553.943     85.570     0.506
562.001     85.512     0.318
570.175     85.476     0.228
578.469     85.468     0.151
586.883     85.485     0.005
595.419     85.519    -0.283
604.080     85.551    -0.742
612.866     85.565    -1.340
621.780     85.556    -2.025
630.824     85.512    -2.711
640.000     85.435    -3.271
649.309     85.351    -3.654
658.753     85.268    -3.870
668.335     85.200    -3.945
678.056     85.162    -3.965
687.919     85.145    -4.027
697.925     85.137    -4.166
708.077     85.127    -4.378
718.376     85.110    -4.627
728.825     85.090    -4.893
739.426     85.061    -5.155
750.181     85.028    -5.389
761.093     84.994    -5.594
772.163     84.960    -5.764
783.394     84.932    -5.908
794.789     84.909    -6.053
806.349     84.892    -6.217
818.078     84.875    -6.413
829.977     84.854    -6.635
842.050     84.830    -6.873
854.298     84.796    -7.106
866.724     84.758    -7.305
879.330     84.720    -7.471
892.120     84.683    -7.618
905.097     84.648    -7.754
918.262     84.615    -7.895
931.618     84.584    -8.066
945.169     84.546    -8.278
958.917     84.494    -8.516
972.864     84.419    -8.734
987.015     84.316    -8.850
1001.37     84.186    -8.754
1015.94     84.045    -8.344
1030.71     83.920    -7.578
1045.71     83.841    -6.492
1060.92     83.844    -5.248
1076.35     83.932    -4.080
1092.00     84.086    -3.183
1107.89     84.278    -2.691
1124.00     84.468    -2.635
1140.35     84.629    -2.930
1156.94     84.747    -3.442
1173.77     84.819    -4.032
1190.84     84.858    -4.604
1208.16     84.865    -5.092
1225.73     84.855    -5.444
1243.56     84.837    -5.654
1261.65     84.814    -5.707
1280.00     84.797    -5.584
1298.62     84.801    -5.305
1317.51     84.835    -4.920
1336.67     84.909    -4.502
1356.11     85.026    -4.146
1375.84     85.182    -3.957
1395.85     85.362    -4.023
1416.15     85.548    -4.385
1436.75     85.721    -5.039
1457.65     85.861    -5.921
1478.85     85.962    -6.931
1500.36     86.022    -7.965
1522.19     86.049    -8.930
1544.33     86.058    -9.779
1566.79     86.060   -10.518
1589.58     86.060   -11.166
1612.70     86.060   -11.740
1636.16     86.062   -12.248
1659.95     86.068   -12.695
1684.10     86.083   -13.096
1708.60     86.111   -13.489
1733.45     86.148   -13.905
1758.66     86.191   -14.368
1784.24     86.235   -14.891
1810.19     86.268   -15.447
1836.52     86.293   -15.986
1863.24     86.313   -16.476
1890.34     86.335   -16.897
1917.83     86.371   -17.269
1945.73     86.421   -17.628
1974.03     86.489   -18.012
2002.74     86.570   -18.457
2031.87     86.661   -18.982
2061.43     86.762   -19.601
2091.41     86.869   -20.329
2121.83     86.983   -21.193
2152.69     87.098   -22.239
2184.01     87.195   -23.475
2215.77     87.263   -24.846
2248.00     87.293   -26.268
2280.70     87.284   -27.624
2313.87     87.252   -28.821
2347.53     87.218   -29.842
2381.68     87.200   -30.740
2416.32     87.204   -31.604
2451.46     87.224   -32.513
2487.12     87.252   -33.507
2523.30     87.276   -34.586
2560.00     87.294   -35.726
2597.24     87.305   -36.907
2635.01     87.310   -38.121
2673.34     87.312   -39.374
2712.23     87.308   -40.683
2751.68     87.297   -42.065
2791.70     87.264   -43.509
2832.31     87.205   -44.958
2873.50     87.120   -46.350
2915.30     87.010   -47.611
2957.70     86.890   -48.697
3000.72     86.773   -49.619
3044.37     86.666   -50.408
3088.65     86.575   -51.102
3133.58     86.499   -51.742
3179.16     86.437   -52.350
3225.40     86.387   -52.927
3272.31     86.355   -53.492
3319.91     86.339   -54.068
3368.20     86.342   -54.680
3417.19     86.364   -55.378
3466.89     86.394   -56.192
3517.32     86.424   -57.108
3568.48     86.447   -58.090
3620.39     86.458   -59.054
3673.05     86.476   -59.919
3726.47     86.534   -60.720
3780.67     86.657   -61.634
3835.67     86.836   -62.907
3891.46     87.034   -64.725
3948.06     87.200   -67.134
4005.49     87.275   -69.950
4063.75     87.254   -72.836
4122.86     87.168   -75.543
4182.82     87.051   -77.964
4243.66     86.966   -80.208
4305.39     86.925   -82.571
4368.01     86.895   -85.283
4431.55     86.834   -88.435
4496.01     86.671   -91.869
4561.40     86.374   -95.146
4627.75     85.982   -97.859
4695.06     85.558   -99.862
4763.35     85.177  -101.261
4832.64     84.910  -102.410
4902.93     84.767  -103.809
4974.24     84.683  -105.820
5046.60     84.587  -108.543
5120.00     84.416  -111.893
5194.47     84.126  -115.642
5270.03     83.685  -119.448
5346.68     83.079  -122.867
5424.45     82.328  -125.460
5503.35     81.490  -126.943
5583.40     80.646  -127.287
5664.61     79.896  -126.767
5747.01     79.292  -125.843
5830.60     78.837  -124.982
5915.41     78.473  -124.504
6001.45     78.129  -124.477
6088.74     77.756  -124.812
6177.30     77.314  -125.318
6267.15     76.787  -125.742
6358.31     76.177  -125.831
6450.80     75.488  -125.332
6544.62     74.746  -124.021
6639.82     73.990  -121.756
6736.40     73.278  -118.495
6834.38     72.671  -114.320
6933.79     72.240  -109.462
7034.64     72.031  -104.290
7136.96     72.072   -99.289
7240.77     72.315   -94.932
7346.09     72.692   -91.490
7452.94     73.159   -89.164
7561.35     73.639   -88.064
7671.33     74.071   -88.127
7782.91     74.400   -89.243
7896.12     74.560   -91.179
8010.97     74.467   -93.322
8127.49     74.115   -94.758
8245.71     73.576   -94.659
8365.65     72.994   -92.624
8487.33     72.566   -88.840
8610.78     72.490   -84.089
8736.03     72.801   -79.435
8863.09     73.401   -75.756
8992.01     74.156   -73.580
9122.80     74.928   -73.105
9255.50     75.586   -74.090
9390.12     76.093   -76.063
9526.70     76.425   -78.540
9665.27     76.593   -80.962
9805.86     76.660   -82.921
9948.49     76.701   -84.307
10093.2     76.777   -85.264
10240.0     76.911   -86.073
10388.9     77.080   -86.952
10540.1     77.256   -87.962
10693.4     77.418   -89.047
10848.9     77.558   -90.061
