Freq[Hz]     dBSPL  Phase[Deg]
177.019     76.227    16.343
179.594     76.104    16.195
182.206     75.993    16.177
184.856     75.895    16.279
187.545     75.819    16.479
190.273     75.760    16.755
193.041     75.721    17.114
195.849     75.709    17.545
198.697     75.737    17.995
201.587     75.807    18.363
204.520     75.907    18.582
207.494     76.037    18.586
210.512     76.175    18.313
213.574     76.300    17.799
216.681     76.412    17.088
219.833     76.499    16.208
223.030     76.554    15.240
226.274     76.586    14.232
229.565     76.588    13.223
232.905     76.566    12.270
236.292     76.527    11.402
239.729     76.475    10.644
243.216     76.419    10.007
246.754     76.369     9.476
250.343     76.333     9.013
253.984     76.320     8.543
257.678     76.323     7.980
261.426     76.337     7.247
265.229     76.343     6.289
269.087     76.318     5.108
273.001     76.233     3.803
276.972     76.079     2.548
281.000     75.857     1.519
285.088     75.573     0.908
289.234     75.264     0.848
293.441     74.967     1.350
297.709     74.717     2.331
302.040     74.543     3.623
306.433     74.451     5.028
310.890     74.433     6.373
315.412     74.465     7.543
320.000     74.525     8.509
324.655     74.595     9.299
329.377     74.667     9.980
334.168     74.744    10.613
339.028     74.835    11.226
343.959     74.950    11.798
348.962     75.095    12.274
354.038     75.273    12.565
359.188     75.471    12.574
364.412     75.665    12.284
369.713     75.849    11.697
375.090     76.002    10.840
380.546     76.113     9.811
386.081     76.187     8.681
391.697     76.221     7.491
397.394     76.210     6.302
403.175     76.152     5.197
409.039     76.055     4.259
414.989     75.922     3.561
421.025     75.768     3.172
427.149     75.616     3.101
433.362     75.483     3.290
439.665     75.371     3.677
446.060     75.285     4.205
452.548     75.217     4.846
459.131     75.161     5.633
465.809     75.126     6.612
472.584     75.126     7.820
479.458     75.192     9.236
486.432     75.363    10.691
493.507     75.644    11.919
500.686     76.024    12.620
507.968     76.452    12.527
515.357     76.852    11.565
522.853     77.167     9.884
530.458     77.370     7.765
538.174     77.451     5.546
546.002     77.427     3.552
553.943     77.348     1.942
562.001     77.242     0.727
570.175     77.137    -0.131
578.469     77.059    -0.758
586.883     76.997    -1.269
595.419     76.947    -1.706
604.080     76.910    -2.109
612.866     76.868    -2.466
621.780     76.829    -2.727
630.824     76.802    -2.901
640.000     76.785    -2.989
649.309     76.795    -3.009
658.753     76.837    -3.041
668.335     76.907    -3.158
678.056     76.999    -3.418
687.919     77.103    -3.866
697.925     77.204    -4.501
708.077     77.298    -5.295
718.376     77.386    -6.248
728.825     77.458    -7.360
739.426     77.510    -8.615
750.181     77.539   -10.019
761.093     77.524   -11.538
772.163     77.458   -13.068
783.394     77.342   -14.499
794.789     77.179   -15.729
806.349     76.981   -16.662
818.078     76.769   -17.250
829.977     76.565   -17.512
842.050     76.380   -17.495
854.298     76.225   -17.250
866.724     76.108   -16.846
879.330     76.030   -16.344
892.120     75.998   -15.812
905.097     76.015   -15.356
918.262     76.068   -15.066
931.618     76.148   -15.020
945.169     76.228   -15.248
958.917     76.290   -15.697
972.864     76.322   -16.270
987.015     76.325   -16.860
1001.37     76.311   -17.399
1015.94     76.291   -17.872
1030.71     76.275   -18.298
1045.71     76.268   -18.732
1060.92     76.262   -19.219
1076.35     76.253   -19.772
1092.00     76.227   -20.377
1107.89     76.179   -20.971
1124.00     76.111   -21.487
1140.35     76.026   -21.854
1156.94     75.943   -22.038
1173.77     75.881   -22.076
1190.84     75.849   -22.059
1208.16     75.843   -22.084
1225.73     75.850   -22.208
1243.56     75.853   -22.419
1261.65     75.846   -22.658
1280.00     75.832   -22.865
1298.62     75.818   -23.006
1317.51     75.818   -23.093
1336.67     75.838   -23.184
1356.11     75.865   -23.303
1375.84     75.907   -23.460
1395.85     75.956   -23.672
1416.15     76.011   -23.919
1436.75     76.086   -24.230
1457.65     76.172   -24.654
1478.85     76.267   -25.220
1500.36     76.361   -25.951
1522.19     76.446   -26.835
1544.33     76.517   -27.849
1566.79     76.566   -28.947
1589.58     76.598   -30.079
1612.70     76.617   -31.231
1636.16     76.624   -32.385
1659.95     76.627   -33.542
1684.10     76.627   -34.723
1708.60     76.627   -35.957
1733.45     76.624   -37.283
1758.66     76.612   -38.729
1784.24     76.580   -40.306
1810.19     76.515   -41.969
1836.52     76.414   -43.655
1863.24     76.275   -45.305
1890.34     76.100   -46.850
1917.83     75.903   -48.264
1945.73     75.685   -49.556
1974.03     75.446   -50.716
2002.74     75.189   -51.749
2031.87     74.901   -52.624
2061.43     74.585   -53.264
2091.41     74.244   -53.625
2121.83     73.870   -53.615
2152.69     73.470   -53.089
2184.01     73.064   -51.908
2215.77     72.676   -49.942
2248.00     72.366   -47.124
2280.70     72.207   -43.562
2313.87     72.273   -39.565
2347.53     72.604   -35.589
2381.68     73.190   -32.110
2416.32     74.003   -29.571
2451.46     74.982   -28.325
2487.12     76.085   -28.613
2523.30     77.277   -30.713
2560.00     78.499   -34.994
2597.24     79.631   -41.814
2635.01     80.538   -51.336
2673.34     81.063   -63.283
2712.23     81.124   -76.860
2751.68     80.694   -91.081
2791.70     79.699  -104.662
2832.31     78.149  -116.094
2873.50     76.143  -124.177
2915.30     73.709  -128.127
2957.70     70.981  -127.655
3000.72     68.192  -123.014
3044.37     65.607  -114.829
3088.65     63.540  -104.080
3133.58     62.053   -91.786
3179.16     61.211   -78.834
3225.40     60.977   -66.148
3272.31     61.249   -54.547
3319.91     61.852   -44.541
3368.20     62.633   -36.282
3417.19     63.486   -29.642
3466.89     64.371   -24.405
3517.32     65.247   -20.358
3568.48     66.102   -17.294
3620.39     66.924   -15.056
3673.05     67.706   -13.484
3726.47     68.452   -12.426
3780.67     69.181   -11.798
3835.67     69.886   -11.550
3891.46     70.584   -11.683
3948.06     71.256   -12.241
4005.49     71.869   -13.101
4063.75     72.451   -14.102
4122.86     73.019   -15.142
4182.82     73.609   -16.132
4243.66     74.281   -17.163
4305.39     75.059   -18.514
4368.01     75.955   -20.582
4431.55     76.914   -23.809
4496.01     77.862   -28.528
4561.40     78.688   -34.872
4627.75     79.297   -42.645
4695.06     79.633   -51.359
4763.35     79.665   -60.322
4832.64     79.412   -68.804
4902.93     78.935   -76.270
4974.24     78.309   -82.471
5046.60     77.614   -87.407
5120.00     76.922   -91.280
5194.47     76.276   -94.405
5270.03     75.662   -96.998
5346.68     75.078   -99.136
5424.45     74.507  -100.826
5503.35     73.940  -101.960
5583.40     73.419  -102.492
5664.61     72.983  -102.531
5747.01     72.671  -102.285
5830.60     72.506  -102.056
5915.41     72.476  -102.170
6001.45     72.551  -102.903
6088.74     72.686  -104.465
6177.30     72.820  -106.967
6267.15     72.895  -110.378
6358.31     72.854  -114.519
6450.80     72.654  -119.033
6544.62     72.286  -123.488
6639.82     71.765  -127.490
6736.40     71.128  -130.733
6834.38     70.438  -133.086
6933.79     69.755  -134.590
7034.64     69.143  -135.438
7136.96     68.636  -135.949
7240.77     68.242  -136.430
7346.09     67.955  -137.193
7452.94     67.732  -138.478
7561.35     67.525  -140.385
7671.33     67.289  -142.913
7782.91     66.984  -145.959
7896.12     66.588  -149.378
8010.97     66.073  -152.972
