Freq[Hz]  Imp[Ohm]  Phase[Deg]
177.019      3.451     0.766
179.594      3.451     0.776
182.206      3.451     0.786
184.856      3.451     0.796
187.545      3.451     0.807
190.273      3.451     0.818
193.041      3.451     0.830
195.849      3.451     0.842
198.697      3.451     0.854
201.587      3.451     0.867
204.520      3.451     0.880
207.494      3.451     0.893
210.512      3.451     0.907
213.574      3.451     0.922
216.681      3.451     0.937
219.833      3.451     0.953
223.030      3.451     0.969
226.274      3.451     0.986
229.565      3.451     1.003
232.905      3.451     1.022
236.292      3.451     1.041
239.729      3.451     1.060
243.216      3.451     1.081
246.754      3.451     1.103
250.343      3.451     1.126
253.984      3.451     1.150
257.678      3.451     1.175
261.426      3.451     1.202
265.229      3.451     1.231
269.087      3.451     1.262
273.001      3.451     1.295
276.972      3.451     1.332
281.000      3.451     1.372
285.088      3.451     1.418
289.234      3.451     1.474
293.441      3.452     1.540
297.709      3.454     1.616
302.040      3.458     1.689
306.433      3.463     1.740
310.890      3.468     1.764
315.412      3.474     1.761
320.000      3.478     1.736
324.655      3.479     1.708
329.377      3.480     1.692
334.168      3.480     1.686
339.028      3.480     1.692
343.959      3.480     1.705
348.962      3.480     1.724
354.038      3.480     1.749
359.188      3.480     1.779
364.412      3.480     1.815
369.713      3.480     1.858
375.090      3.480     1.909
380.546      3.480     1.973
386.081      3.480     2.052
391.697      3.482     2.144
397.394      3.486     2.239
403.175      3.491     2.319
409.039      3.497     2.383
414.989      3.503     2.433
421.025      3.508     2.473
427.149      3.514     2.513
433.362      3.520     2.546
439.665      3.525     2.573
446.060      3.531     2.597
452.548      3.537     2.616
459.131      3.542     2.639
465.809      3.549     2.660
472.584      3.554     2.681
479.458      3.560     2.705
486.432      3.566     2.736
493.507      3.573     2.784
500.686      3.582     2.837
507.968      3.594     2.877
515.357      3.609     2.881
522.853      3.624     2.830
530.458      3.637     2.739
538.174      3.649     2.624
546.002      3.659     2.493
553.943      3.668     2.359
562.001      3.677     2.226
570.175      3.686     2.083
578.469      3.695     1.916
586.883      3.702     1.732
595.419      3.708     1.535
604.080      3.712     1.328
612.866      3.713     1.128
621.780      3.714     0.940
630.824      3.714     0.764
640.000      3.714     0.595
649.309      3.714     0.427
658.753      3.714     0.252
668.335      3.714     0.067
678.056      3.712    -0.132
687.919      3.708    -0.338
697.925      3.701    -0.532
708.077      3.693    -0.707
718.376      3.682    -0.853
728.825      3.672    -0.960
739.426      3.663    -1.046
750.181      3.653    -1.113
761.093      3.644    -1.159
772.163      3.636    -1.196
783.394      3.629    -1.230
794.789      3.621    -1.251
806.349      3.613    -1.258
818.078      3.607    -1.257
829.977      3.601    -1.252
842.050      3.597    -1.245
854.298      3.593    -1.253
866.724      3.589    -1.273
879.330      3.583    -1.287
892.120      3.577    -1.294
905.097      3.571    -1.290
918.262      3.566    -1.275
931.618      3.560    -1.257
945.169      3.554    -1.226
958.917      3.548    -1.180
972.864      3.543    -1.116
987.015      3.539    -1.037
1001.37      3.538    -0.959
1015.94      3.537    -0.894
1030.71      3.537    -0.841
1045.71      3.537    -0.800
1060.92      3.537    -0.765
1076.35      3.537    -0.735
1092.00      3.537    -0.709
1107.89      3.537    -0.687
1124.00      3.537    -0.667
1140.35      3.537    -0.649
1156.94      3.537    -0.632
1173.77      3.537    -0.618
1190.84      3.537    -0.605
1208.16      3.537    -0.593
1225.73      3.537    -0.582
1243.56      3.537    -0.572
1261.65      3.537    -0.563
1280.00      3.537    -0.555
1298.62      3.537    -0.547
1317.51      3.537    -0.540
1336.67      3.537    -0.532
1356.11      3.537    -0.525
1375.84      3.537    -0.518
1395.85      3.537    -0.510
1416.15      3.537    -0.501
1436.75      3.537    -0.490
1457.65      3.537    -0.477
1478.85      3.537    -0.458
1500.36      3.537    -0.432
1522.19      3.538    -0.398
1544.33      3.541    -0.363
1566.79      3.546    -0.343
1589.58      3.551    -0.351
1612.70      3.557    -0.390
1636.16      3.562    -0.458
1659.95      3.564    -0.545
1684.10      3.566    -0.634
1708.60      3.566    -0.722
1733.45      3.565    -0.812
1758.66      3.564    -0.907
1784.24      3.561    -1.002
1810.19      3.557    -1.082
1836.52      3.551    -1.138
1863.24      3.546    -1.170
1890.34      3.541    -1.184
1917.83      3.538    -1.195
1945.73      3.535    -1.218
1974.03      3.531    -1.247
2002.74      3.525    -1.262
2031.87      3.520    -1.257
2061.43      3.514    -1.228
2091.41      3.511    -1.181
2121.83      3.509    -1.133
2152.69      3.508    -1.099
2184.01      3.508    -1.081
2215.77      3.508    -1.081
2248.00      3.507    -1.097
2280.70      3.506    -1.125
2313.87      3.502    -1.152
2347.53      3.496    -1.156
2381.68      3.491    -1.135
2416.32      3.486    -1.087
2451.46      3.482    -1.018
2487.12      3.480    -0.947
2523.30      3.480    -0.886
2560.00      3.480    -0.836
2597.24      3.480    -0.794
2635.01      3.480    -0.759
2673.34      3.480    -0.727
2712.23      3.480    -0.698
2751.68      3.480    -0.671
2791.70      3.480    -0.647
2832.31      3.480    -0.624
2873.50      3.480    -0.602
2915.30      3.480    -0.581
2957.70      3.480    -0.562
3000.72      3.480    -0.543
3044.37      3.480    -0.526
3088.65      3.480    -0.509
3133.58      3.480    -0.493
3179.16      3.480    -0.477
3225.40      3.480    -0.462
3272.31      3.480    -0.447
3319.91      3.480    -0.433
3368.20      3.480    -0.419
3417.19      3.480    -0.406
3466.89      3.480    -0.393
3517.32      3.480    -0.380
3568.48      3.480    -0.368
3620.39      3.480    -0.356
3673.05      3.480    -0.344
3726.47      3.480    -0.333
3780.67      3.480    -0.321
3835.67      3.480    -0.310
3891.46      3.480    -0.299
3948.06      3.480    -0.289
4005.49      3.480    -0.278
4063.75      3.480    -0.268
4122.86      3.480    -0.258
